phase,measure,ms
both,query,8.5908
both,query,7.5731
both,query,7.5896
both,query,2.2251
both,query,4.9493
both,query,3.6270
both,query,3.1429
both,query,2.8085
both,query,3.9530
both,query,5.1554
both,query,4.9730
both,query,4.8005
both,query,4.1815
both,query,5.8070
both,query,3.2598
both,query,3.2352
both,query,2.8544
both,query,5.4255
both,query,4.1853
both,query,5.4050
both,query,3.3897
both,query,10.8713
both,query,5.7252
both,query,4.2028
both,query,21.0937
both,query,4.8695
both,query,5.5556
both,query,3.8803
both,query,1.4569
both,query,8.4345
both,query,4.7914
both,query,3.2496
both,query,2.4194
both,query,8.1354
both,query,6.5501
both,query,4.4948
both,query,7.8124
both,query,4.5752
both,query,2.8495
both,query,1.8811
both,query,5.7933
both,query,7.0912
both,query,3.8776
both,query,7.1425
both,query,7.5105
both,query,5.1312
both,query,4.7290
both,query,4.2849
both,query,6.3207
both,query,7.9161
both,query,4.5129
both,query,3.5541
both,query,6.2562
both,query,2.7126
both,query,5.1429
both,query,4.5830
both,query,2.5806
both,query,5.0866
both,query,6.4017
both,query,3.3645
both,query,2.4160
both,query,5.6016
both,query,4.7396
both,query,5.7145
both,query,3.7758
both,query,9.1284
both,query,5.1892
both,query,5.2165
both,query,2.5466
both,query,4.1859
both,query,8.3500
both,query,4.3441
both,query,1.8833
both,query,4.5279
both,query,5.5019
both,query,7.6737
both,query,2.7689
both,query,4.8386
both,query,3.2584
both,query,6.2079
both,query,3.3715
both,query,7.9393
both,query,5.3104
both,query,8.8729
both,query,5.2824
both,query,3.6475
both,query,4.9294
both,query,3.5057
both,query,4.4096
both,query,3.9975
both,query,2.9350
both,query,7.2772
both,query,6.4685
both,query,4.4825
both,query,9.4511
both,query,4.1731
both,query,3.3822
both,query,1.9429
both,query,1.5857
both,query,3.0781
both,query,4.8714
both,query,2.7009
both,query,4.0601
both,query,3.9916
both,query,3.7672
both,query,3.7721
both,query,1.7567
both,query,2.6830
both,query,7.2363
both,query,2.3606
both,query,4.8737
both,query,4.4474
both,query,7.6004
both,query,2.9773
both,query,3.5167
both,query,4.9112
both,query,8.8962
both,query,2.1365
both,query,4.8213
both,query,4.4531
both,query,5.3653
both,query,1.2270
both,query,3.2838
both,query,2.8347
both,query,3.4619
both,query,3.0140
both,query,3.6636
both,query,1.4686
both,query,3.5436
both,query,2.7338
both,query,6.4001
both,query,4.2409
both,query,6.1600
both,query,7.7252
both,query,4.7603
both,query,8.3452
both,query,2.3237
both,query,3.1709
both,query,7.5234
both,query,3.6283
both,query,2.7084
both,query,4.6417
both,query,7.3343
both,query,1.8037
both,query,3.3026
both,query,2.9647
both,query,4.2477
both,query,4.7296
both,query,6.9276
both,query,5.1097
both,query,5.0386
both,query,4.9140
both,query,2.8282
both,query,4.2136
both,query,3.5469
both,query,2.5094
both,query,6.3236
both,query,2.1815
both,query,4.6808
both,query,4.8301
both,query,4.2986
both,query,5.9902
both,query,5.5718
both,query,2.4372
both,query,6.3088
both,query,4.1806
both,query,2.5673
both,query,3.9061
both,query,5.0398
both,query,5.1426
both,query,3.5809
both,query,3.5457
both,query,5.2960
both,query,4.0617
both,query,12.6558
both,query,2.7157
both,query,2.1119
both,query,4.5544
both,query,1.2799
both,query,4.0630
both,query,4.1667
